"ResponseID","word1","word2","word3","word4","word5","word6","word7","word8","word9","word10","word11","word12","word13","word14","word15","word16","word17","word18","word19","word20"
"R_3dCagm4jSk9R6UR","FREEDOM","FREE SPEECH","THE RIGHT TO HOLD A PROTEST","THE RIGHT TO VOTE","THE RIGHT TO AN EDUCATION","THE RIGHT TO CHOOSE WHATEVER CAREER I WANT ","PEACE","UNITY","IDEAS","COMMUNITY","AMERICAN","","","","","","","","",""
"R_d3Y2epMIlq2FqRL","voting","freedom","rights","people","America","fight","quality","","","","","","","","","","","","",""
"R_cVebLscSDgSFyst","equality","voting ","suffrage","election day","ballots","politicians","congress","political parties","","","","","","","","","","","",""
"R_9ot2uuRvQbKFIR7","voting","limited choices","majority opinion","persuasion","politics","political parties","republicans and democrats","liberals and conservatives","equality","","","","","","","","","","",""
"R_5BiR2p7Ff9cLEKp","taxes","lies","voting","job pay","unemployment","","","","","","","","","","","","","","",""
"R_8uZLn5C4WX8uTbf","elections","representation","accountability","choice","people","enfranchisement","diversity","term limits","rights","equality","","","","","","","","","",""
"R_6X5QBXROewCTYd7","freedom","justice","liberty","everybody has a say","peaceful","progressive","fair","balanced","United States","pride","worth fighting for","what people what","desire spread by the internet","","","","","","",""
"R_1O0e1dYSpkaw83b","freedom","choice","respect","government","mob rule","legislation","town hall","representative","senate","presidency","law","rules","","","","","","","",""
"R_9Hp3hhwrzFiyqrz","freedom","justice","independence","equal voting rights","choosing who to vote for","happiness","achievement","closer to utopia","","","","","","","","","","","",""
"R_50aV2fe9kiqTDal","Public","Voting","Freedom","United","People","Majority","Opportunity","","","","","","","","","","","","",""
"R_eyWg6P7fFy2vMIR","freedom","curse","mystery","wondeful","creation","","","","","","","","","","","","","","",""
"R_29IU37aiqP9pskl","vote","we the people","representation","government","freedom","equality","","","","","","","","","","","","","",""
"R_eWj55PA9PBxnsbP","freedom","equality ","voting ","division of power ","capitalism ","","","","","","","","","","","","","","",""
"R_5okFXdG8gdxK353","freedom of choice","right to an independent life","economic success","justice for all","an adequate minimum for salaries","the chance to succeed","","","","","","","","","","","","","",""
"R_4UzCFEqC1yT9g7H","United Nations","Politics","President","Governer","Mayor","Senate","Amendments","Republican","","","","","","","","","","","",""
"R_bBDgTcdYv2FuBmZ","voting","america","freedom","choice","elections","issues","debates","justice","consttitution","rights","","","","","","","","","",""
"R_8dBmAej5ZmJuRY9","working class","by the people","welfare","handouts","clinton","carter","obama","shady","clickish","political party","","","","","","","","","",""
"R_cRXirkIElh3E4BL","People","Choice","Slow","Arguing","Revolution","White and black rocks","Our Government","Voices","Vote","","","","","","","","","","",""
"R_afLuzGgdC7c90nr","Sad","Interesting","Different","Controversial ","Difficult","","","","","","","","","","","","","","",""
"R_5iq6PgGM4n5TDF3","usa","fair and equal treatment","the constitution","freedom","rights","congress","presidential elections","","","","","","","","","","","","",""
"R_cFGOrgCc3Kw4tsF","Elections","Voting","Freedom","People","Majority","Representative","Western","Modern","Justice","Leaders","","","","","","","","","",""
"R_5oS1NfLkcdI6Lzv","Freedom","Choice","Voice","Prosperity","Power","Influence","Participation","Equality","Fariness","Justice","","","","","","","","","",""
"R_cU7v5dEfINIJIZn","majority","freedom","fairness","people","vote","truth","","","","","","","","","","","","","",""
"R_dpf2RqrSPObRNch","equality","freedom","justice","america","politics","government","","","","","","","","","","","","","",""
"R_dbxk9hpCuozJn6J","Government","Being able to vote","Bill Clinton","Democrats","People have the right to choose","Glad it's not a monarchy","","","","","","","","","","","","","",""
"R_2tyNOaK9od0pJLn","vote","freedom","flawed","politics","groupthink","abuse","regulation","nationalism","","","","","","","","","","","",""
"R_0HCkWrMELhyhjEh","fair","honest","shared","equal","republic","vote","president","representative","representation","tax","election","equality","nation","party","system","two","republican","democrat","judicial","legislative"
"R_bxrszAvnHSWFI7b","freedom","equality ","government","laws","rules","liberial","civil liberties","","","","","","","","","","","","",""
"R_0JVBNTO0vYzkuZT","choice","freedom","rights","civilization","society","vote","representation","decision","majority","organization","responsibility","helping","forming","leading","exemplary","people","unity","disagreement","unison","we complete each other"
"R_eKI1Id9fWs35zxP","ability to vote","freedom of choice","political parties","liberal vs. conservative","general elections","political campaigns","candidates debating","government ","president","house of representatives","congress","","","","","","","","",""
"R_0DPvNwtBNRt8REh","liberty","freedom","pursuit of happiness","right to free speach","right to bear arms","right to vote","religous freedom","right to be yourself","opportunity","everyone equal","no royalty","","","","","","","","",""
"R_bBGKzcCPHbC3kEt","Vote","Representation of People","Three Branches","President","House of Representatives","Congress","Senators ","Bureaucracy ","","","","","","","","","","","",""
"R_eKwCVdf8zu9ooS1","Vote","Majority","Fair","America","Government","Justice","","","","","","","","","","","","","",""
"R_7Pt2aQSn3PmgNnL","freedom","voting","politics","choice","government","capitalism","opportunity","","","","","","","","","","","","",""
"R_eDJlFws2yIMXIqx","Voting","Choice","Rights","Elections","Freedom","","","","","","","","","","","","","","",""
"R_brodigvrPfmfw21","elections","freedom","representation","minority rights","majority rule","having a voice in government","being able to select people to represent your ideas","","","","","","","","","","","","",""
"R_2c9Y8xK0jDGvh65","freedom","America","vote","election","constitution","rights","","","","","","","","","","","","","",""
"R_2l6DpkpaJs0QUhD","freedom","choice","equality","individualism","respect","opportunity","tolerance","diversity","expression","security","","","","","","","","","",""
"R_brvs9RzoItx4ebj","Freedom","Choice","Voting","Free Market","World Leader","America","2 party system","Fair","Just","","","","","","","","","","",""
"R_8uHUhanqrgnoUZL","freedom","choice","fair","elections","representation","for the people","fighting for your own rights","land of the free","establishing freedoms for otheres","separation of church and state","human rights","free speach","reaching for equality","","","","","","",""
"R_bj7NMJRS1AiEKAR","freedom","choice","rights","transparency","vote","justice","","","","","","","","","","","","","",""
"R_8pIfPi6xUOt4ZyB","freedom","voting","people","government","flawed","","","","","","","","","","","","","","",""
"R_1MkbXVKVJO3yXfn","equality","freedom","free speech","free elections","equal chance at success","freedom of religion","equal chance at success","","","","","","","","","","","","",""
"R_3OZfn8I4W48No3P","majority rules","voting","self government","Illusion of choice","republic","better form of government","","","","","","","","","","","","","",""
"R_01HQBuNqqAGq71r","government","voting","for the people","beneficial ","strong structure","freedom","","","","","","","","","","","","","",""
"R_41mbDXPxzrnv7s9","Freedom","Propserity","Equality","Advancement","Resourceful","Self expression","Rights","","","","","","","","","","","","",""
"R_8kKtagpWHUD5Ti5","freedom","social responsibilty","public welfare","equality","justice","protection ","fairness","supportive","community","balanced society","","","","","","","","","",""
"R_6KKVfJqZk9HgfXL","freedom","progress","individualism","overcoming hierarchy","unfulfilled","propaganda","media bias","","","","","","","","","","","","",""
"R_0U62d1iTQpSlShT","voting","citizens","fair","election","ballot","","","","","","","","","","","","","","",""
"R_3lKY4B0js17mDPL","america","election","vote","united states","obama","electoral college","","","","","","","","","","","","","",""
"R_82GgsYkRvGESTYh","freedom","USA","voting","choice","picking a president","our nation","politics","","","","","","","","","","","","",""
"R_cu1J4WiEka9T1Yx","Voting","Representation","Equality","Freedom","Fairness","","","","","","","","","","","","","","",""
"R_9FgcQrGtuKnp5Cl","people","president","voting","election","politics","campaign","freedom","money","capitalism","","","","","","","","","","",""
"R_2mELHsVHiOviSu9","freedom","rights","people","vote","majority","representation","","","","","","","","","","","","","",""
"R_4UDgJJqAImQNGDP","freedom","equality","voting","statue of liberty","expression","opinions","checks and balances","government by the people","citizen's rights","justice","elections","usa","","","","","","","",""
"R_8GNITjut2fyBOyF","freedom","American","president","people","vote","equal","","","","","","","","","","","","","",""
"R_0cUHE8Dq81vNfbn","equality","fairness","America","government","voting","parties","partisanship","congress","representative","voter","ballot","polls","","","","","","","",""
"R_6saXRGODiCVupRH","freedom","the US","equality","voting","majority rules","Republican","Democrats","Libertarians","Tea Party","Green Party","Obama is ruining it","Liberals","Conservatives","Flag","Proud to be an American","Other countries admire our government","Best government structure in the world","Military protects it","Ronald Reagan","George W Bush"
"R_71h9IjqU26BR92Z","fairness","freedom","money","comfort","ease","liberty","","","","","","","","","","","","","",""
"R_6W3NkSR3hfQdotD","We the People","America","Voting","Ballots ","Republicans vs Democrats","","","","","","","","","","","","","","",""
"R_0wkfh2tdE5vfI0Z","polical ","choice","vote","inclusive","decisive","final","modern","progressive","government","voice","","","","","","","","","",""
"R_agDgtCSefdK4S2h","freedom","guns","money","liberal","drugs","beer","picnics","broadcasting","convention","speech","congress","","","","","","","","",""
"R_8IgmAPO4XmZkknP","vote","freedom","president","congress","legislative","supreme court","","","","","","","","","","","","","",""
"R_cCJ12hu7rJRUZh3","freedom","vote","choice","fair","fair government","free speech","USA","","","","","","","","","","","","",""
"R_a48YEv5KwI3ghV3","Western countries","The people","America","Voting","Freedom","Not based on royalty","Human rights","Equalness","","","","","","","","","","","",""
"R_50laBOqpRmTGrE9","freedom","free trade","election","responsibility","justice","achievment","admiration","equality","rights","education","","","","","","","","","",""
"R_6ziGqHfTV1vxjqB","politics","power","elections","officials","vote","veto","overthrow","equality","people","rules","representatives","rights","corrupt","institutions","future","system","america","","",""
"R_3jXKjVjyojenixT","freedon","government","constitution","capitalism","voice","choice","","","","","","","","","","","","","",""
"R_cPaAfftRJVpUmix","voting","voices","obama","america","washington","thanksgiving","","","","","","","","","","","","","",""
"R_1OccFP57Scek5il","freedom","usa","voting","free speech","opportunity","happiness","elections","","","","","","","","","","","","",""
"R_5dULYFIj4XOoVsp","social equality","egalitarianism","classlessness","freedom","government","emancipation","","","","","","","","","","","","","",""
"R_eyRUcAlhUYewqoJ","freedom","politics","elections","people","government","","","","","","","","","","","","","","",""
"R_0CEMyUgDULD16tv","representative","aspiration","freedom","by the people","for the people","liberty","government","indirect or direct","Athens","voting","citizenship","rights","15th Ammendment","equality","election","republic","legislation","congress","3 branches of government","civil rights"
"R_3WXTgGvqjeHrssR","Freedom","Rights","USA","Ancient Rome","President","Opinions","","","","","","","","","","","","","",""
"R_dhGyOvwMJ8259kh","Unfair","Narrow","Untrue","Political","Planned","Propaganda ","Misleading","Debate","False","Lie","Effect","Jurisdiction","Rumor","Politics","Government","State","US","No","Avoid","Committee"
"R_1BWwRz2nBu2G3L7","politics","voting","fairness","human rights","humanity","","","","","","","","","","","","","","",""
"R_81Vx6CA3KbQiZVP","freedom","united states","home","family","sacrifice","honor ","commitment","loyalty","patriotism","","","","","","","","","","",""
"R_4OZ5FWecDo3Lrut","teamwork","leadership","ideas","new concepts","accomplishments","","","","","","","","","","","","","","",""
"R_4Zn47sNig4au34h","recognition of minorities","diffusion of power","government by the people","equality in voting ","free, fair, frequent elections","important public decisions on law and policy by public opinion"," different groups  entitled to compete for elections","","","","","","","","","","","","",""
"R_6JVqTsWISAsx6yV","freedom","justice","equality","fairness","negotiations","","","","","","","","","","","","","","",""
